Accession,Protein_Name,Gene_symbol,Protein_Type,Sperm_Location,Caput,NC_Cauda,CORE,NegLog10_p_value,FC
Q8BP56,Protein-glucosylgalactosylhydroxylysine glucosidase,Pgghg,Enzyme,,Yes,,,,
Q8BP67,60S ribosomal protein L24,Rpl24,,,Yes,Yes,Yes,6.641,-1.56
Q8BP92,Reticulocalbin-2,Rcn2,,,Yes,Yes,Yes,4.156,-2.371
Q8BPB0,MOB kinase activator 1B,Mob1b,,Nucleus,Yes,,,,
Q8BPB5,EGF-containing fibulin-like extracellular matrix protein 1,Efemp1,Enzyme,,Yes,,,,
Q8BPC6,"Probable isocitrate dehydrogenase [NAD] gamma 2, mitochondrial",,,,Yes,Yes,Yes,1.779,0.319
Q8BPE4,Transmembrane protein 177,Tmem177,,Mitochondria,Yes,Yes,Yes,2.487,0.48
Q8BPG6,Inactive C-alpha-formylglycine-generating enzyme 2,Sumf2,,,Yes,,,,
Q8BPM2,Mitogen-activated protein kinase kinase kinase kinase 5,Map4k5,Kinase,,Yes,,,,
Q8BPN8,DmX-like protein 2,Dmxl2,,,Yes,Yes,Yes,0.844,-0.492
Q8BPS4,Integral membrane protein GPR180,Gpr180,,,Yes,,,,
Q8BPT6,Mitochondrial inner membrane protease subunit 2,Immp2l,Peptidase,Mitochondria,Yes,Yes,Yes,1.879,0.495
Q8BPU7,Engulfment and cell motility protein 1,Elmo1,,,Yes,,,,
Q8BQ47,Protein canopy homolog 4,Cnpy4,,,Yes,,,,
Q8BQB6,Stabilizer of axonemal microtubules 2,Saxo2,,Nucleus; Flagellum,Yes,,,,
Q8BQZ4,Ral GTPase-activating protein subunit beta,Ralgapb,,,Yes,Yes,Yes,1.449,-0.358
Q8BQZ5,Cleavage and polyadenylation specificity factor subunit 4,Cpsf4,,Nucleus,Yes,,,,
Q8BQZ5-2,Isoform 2 of Cleavage and polyadenylation specificity factor subunit 4,Cpsf4,,Nucleus,Yes,,,,
Q8BR63,Protein FAM177A1,Fam177a1,,,Yes,,,,
Q8BR65,Sin3 histone deacetylase corepressor complex component SDS3,Suds3,Transcription regulator,Nucleus,Yes,,,,
Q8BR70,Protein YIPF6,Yipf6,,,Yes,Yes,Yes,2.403,-0.304
Q8BR76,Meckelin,Tmem67,,Axoneme,,Yes,,,
Q8BR90,UPF0600 protein C5orf51 homolog,,,,Yes,,,,
Q8BRC6,Cilia- and flagella-associated protein 91,Cfap91,,Axoneme,Yes,Yes,Yes,1.298,0.431
Q8BRF7,Sec1 family domain-containing protein 1,Scfd1,Transporter,,Yes,Yes,Yes,2.449,-0.878
Q8BRG8,Transmembrane protein 209,Tmem209,,,Yes,Yes,Yes,2.399,-1.326
Q8BRH0,Protein O-mannosyl-transferase TMTC3,Tmtc3,Enzyme,,Yes,,,,
Q8BRH4,Histone-lysine N-methyltransferase 2C,Kmt2c,Transcription regulator,Nucleus,Yes,,,,
Q8BRM2,RAB6-interacting golgin,Gorab,,,Yes,,,,
Q8BRN9,Coiled-coil and C2 domain-containing protein 1B,Cc2d1b,Transcription regulator,Nucleus,Yes,,,,
Q8BRT1,CLIP-associating protein 2,Clasp2,,,Yes,,,,
Q8BS40,Ceramide-1-phosphate transfer protein,Cptp,Transporter,Nucleus,Yes,Yes,Yes,1.91,0.436
Q8BS45,Intraflagellar transport protein 56,Ttc26,,,Yes,Yes,Yes,0.517,0.13
Q8BS95,Golgi pH regulator,Gpr89,Ion channel,,Yes,,,,
Q8BSE0,Regulator of microtubule dynamics protein 2,Rmdn2,,,Yes,Yes,Yes,1.705,0.262
Q8BSF4,"Phosphatidylserine decarboxylase proenzyme, mitochondrial",Pisd,Enzyme,Nucleus; Mitochondria,Yes,Yes,Yes,4.901,-1.055
Q8BSL7,ADP-ribosylation factor 2,Arf2,,,Yes,,,,
Q8BSN3,Coiled-coil domain-containing protein 151,Ccdc151,,Axoneme,Yes,Yes,Yes,2.341,0.237
Q8BSQ9,Protein polybromo-1,Pbrm1,,Nucleus,Yes,,,,
Q8BSV3,BEN domain-containing protein 7,Bend7,,,Yes,,,,
Q8BSY0,Aspartyl/asparaginyl beta-hydroxylase,Asph,Enzyme,,Yes,Yes,Yes,2.824,-1.342
Q8BT60,Copine-3,Cpne3,Kinase,Nucleus,Yes,Yes,Yes,4.531,-1.231
Q8BTE5,Protein CEBPZOS,Cebpzos,,Mitochondria,Yes,,,,
Q8BTH8,Casein kinase I isoform gamma-1,Csnk1g1,Kinase,Nucleus,,Yes,,,
Q8BTI8,Serine/arginine repetitive matrix protein 2,Srrm2,,Nucleus,Yes,Yes,Yes,6.08,-2.501
Q8BTJ4,Bis(5'-adenosyl)-triphosphatase enpp4,Enpp4,Enzyme,,Yes,Yes,Yes,3.166,-1.08
Q8BTM8,Filamin-A,Flna,,Nucleus,Yes,Yes,Yes,5.772,-3.403
Q8BTR5,Dual specificity phosphatase 28,Dusp28,Enzyme,,Yes,,,,
Q8BTS4,Nuclear pore complex protein Nup54,Nup54,,Nucleus,Yes,Yes,Yes,3.912,-0.851
Q8BTU1,Cilia- and flagella-associated protein 20,Cfap20,,Nucleus,Yes,Yes,Yes,1.55,0.279
Q8BTV1,Tumor suppressor candidate 3,Tusc3,Transporter,,Yes,,,,
Q8BTV2,Cleavage and polyadenylation specificity factor subunit 7,Cpsf7,,Nucleus,Yes,,,,
Q8BTW3,Exosome complex component MTR3,Exosc6,,Nucleus,Yes,,,,
Q8BTW9,Serine/threonine-protein kinase PAK 4,Pak4,Kinase,,Yes,,,,
Q8BTX9,Inactive hydroxysteroid dehydrogenase-like protein 1,Hsdl1,Enzyme,,Yes,Yes,Yes,0.06,0.016
Q8BTY1,Kynurenine--oxoglutarate transaminase 1,Kyat1,Enzyme,,Yes,Yes,Yes,1.417,-0.254
Q8BTY2,Sodium bicarbonate cotransporter 3,Slc4a7,Transporter,,Yes,,,,
Q8BTY8,Sec1 family domain-containing protein 2,Scfd2,Transporter,,Yes,Yes,Yes,1.989,-1.921
Q8BTZ4,Anaphase-promoting complex subunit 5,Anapc5,,Nucleus,Yes,,,,
Q8BTZ5,Ankyrin repeat domain-containing protein 46,Ankrd46,Transcription regulator,,Yes,,,,
Q8BTZ7,Mannose-1-phosphate guanyltransferase beta,Gmppb,Enzyme,,Yes,,,,
Q8BU03,Periodic tryptophan protein 2 homolog,Pwp2,,Nucleus,Yes,,,,
Q8BU04,Putative E3 ubiquitin-protein ligase UBR7,Ubr7,Enzyme,,Yes,,,,
Q8BU14,Translocation protein SEC62,Sec62,Transporter,,Yes,Yes,Yes,3.131,-1.51
Q8BU30,"Isoleucine--tRNA ligase, cytoplasmic",Iars1,Enzyme,,Yes,Yes,Yes,2.564,-1.577
Q8BU31,Ras-related protein Rap-2c,Rap2c,Enzyme,,Yes,Yes,Yes,3.81,0.253
Q8BU33,2-hydroxyacyl-CoA lyase 2,Ilvbl,Enzyme,,Yes,Yes,Yes,3.492,-1.189
Q8BU88,"39S ribosomal protein L22, mitochondrial",Mrpl22,,Mitochondria,Yes,,,,
Q8BUE4,Ferroptosis suppressor protein 1,Aifm2,Enzyme,Nucleus; Mitochondria,Yes,,,,
Q8BUG2,Beta-Ala-His dipeptidase,Cndp1,Peptidase,,Yes,,,,
Q8BUH8,Sentrin-specific protease 7,Senp7,Peptidase,Nucleus,Yes,,,,
Q8BUI3,Leucine-rich repeat and WD repeat-containing protein 1,LRWD1,,Nucleus,Yes,,,,
Q8BUK6,Protein Hook homolog 3,Hook3,,,Yes,,,,
Q8BUL5,Kelch-like protein 7,Klhl7,,Nucleus,Yes,,,,
Q8BUL6,Pleckstrin homology domain-containing family A member 1,Plekha1,,Nucleus,Yes,,,,
Q8BUR4,Dedicator of cytokinesis protein 1,Dock1,,,Yes,,,,
Q8BUV3,Gephyrin,Gphn,Enzyme,,Yes,,,,
Q8BUV8,Protein GPR107,Gpr107,G-protein coupled receptor,,Yes,,,,
Q8BUY5,"Complex I assembly factor TIMMDC1, mitochondrial",Timmdc1,,Mitochondria,Yes,,,,
Q8BUY9,Geranylgeranyl transferase type-1 subunit beta,Pggt1b,Enzyme,,Yes,,,,
Q8BV13,COP9 signalosome complex subunit 7b,Cops7b,,Nucleus,Yes,Yes,Yes,0.072,-0.023
Q8BVA2,Transmembrane protein 222,Tmem222,,,Yes,,,,
Q8BVA5,Lipid droplet-associated hydrolase,Ldah,Enzyme,,Yes,Yes,Yes,4.275,-1.111
Q8BVB5,Beta-defensin 42,Defb42,,,Yes,Yes,Yes,1.284,0.272
Q8BVC1,Beta-defensin 22,Defb22,,Acrosome,,Yes,,,
Q8BVD5,MAGUK p55 subfamily member 7,Mpp7,,,Yes,,,,
Q8BVE3,V-type proton ATPase subunit H,Atp6v1h,Transporter,,Yes,Yes,Yes,2.146,-0.322
Q8BVE8,Histone-lysine N-methyltransferase NSD2,Nsd2,Enzyme,Nucleus,Yes,,,,
Q8BVF7,Gamma-secretase subunit APH-1A,Aph1a,Peptidase,,Yes,,,,
Q8BVG4,Dipeptidyl peptidase 9,Dpp9,Peptidase,,Yes,,,,
Q8BVI4,Dihydropteridine reductase,Qdpr,Enzyme,,Yes,Yes,Yes,4.323,-1.37
Q8BVI5,Syntaxin-16,Stx16,Transporter,,Yes,,,,
Q8BVL3,Sorting nexin-17,Snx17,Transporter,,Yes,,,,
Q8BVM2,Anthrax toxin receptor-like,Antxrl,,,Yes,Yes,Yes,2.461,0.326
Q8BVM4,Antizyme inhibitor 2,Azin2,Enzyme,Nucleus,Yes,Yes,Yes,2.487,0.602
Q8BVM7,Flagellum-associated coiled-coil domain-containing protein 1,Flacc1,,Flagellum,Yes,Yes,Yes,3.932,1.148
Q8BVN3,Cation channel sperm-associated protein 4,Catsper4,Transporter,Flagellum,Yes,Yes,Yes,4.005,0.707
Q8BVN7,Solute carrier family 25 member 41,Slc25a41,,Mitochondria,,Yes,,,
Q8BVN8,Axonemal dynein light intermediate polypeptide 1,Dnali1,,Axoneme,Yes,Yes,Yes,2.177,0.319
Q8BVP1,Probable E3 ubiquitin-protein ligase TRIML1,Triml1,,,,Yes,,,
Q8BVP5,Casein kinase I isoform gamma-2,Csnk1g2,Kinase,Nucleus,Yes,Yes,Yes,3.407,0.537
Q8BVP6,Ly6/PLAUR domain-containing protein 4,Lypd4,,,Yes,Yes,Yes,0.055,0.014
Q8BVQ5,Protein phosphatase methylesterase 1,Ppme1,Enzyme,,Yes,Yes,Yes,1.294,-0.159
Q8BVR0,Barrier-to-autointegration factor-like protein,Banf2,,Nucleus,Yes,Yes,Yes,1.101,0.284
Q8BVR6,RING finger and SPRY domain-containing protein 1,Rspry1,,,,Yes,,,
Q8BVT6,Protein phosphatase 2C-like domain-containing protein 1,Pp2d1,Phosphatase,,,Yes,,,
Q8BVU0,DISP complex protein LRCH3,Lrch3,,,Yes,,,,
Q8BVU5,"ADP-ribose pyrophosphatase, mitochondrial",Nudt9,Phosphatase,,Yes,Yes,Yes,2.368,-0.343
Q8BVW0,Neutral alpha-glucosidase C,Ganc,Enzyme,,Yes,,,,
Q8BVW3,Tripartite motif-containing protein 14,Trim14,,Mitochondria,Yes,,,,
Q8BVY0,Ribosomal L1 domain-containing protein 1,Rsl1d1,,Nucleus,Yes,,,,
Q8BW41,"Protein O-linked-mannose beta-1,4-N-acetylglucosaminyltransferase 2",Pomgnt2,Enzyme,,Yes,,,,
Q8BW75,Amine oxidase [flavin-containing] B,Maob,Enzyme,Mitochondria,Yes,Yes,Yes,0.663,-0.118
Q8BW94,"Dynein heavy chain 3, axonemal",Dnah3,Enzyme,Axoneme,Yes,Yes,Yes,2.133,0.234
Q8BWF0,"Succinate-semialdehyde dehydrogenase, mitochondrial",Aldh5a1,Enzyme,,Yes,Yes,Yes,3.658,-1.681
Q8BWM0,Prostaglandin E synthase 2,Ptges2,Transcription regulator,Nucleus,Yes,Yes,Yes,2.869,-0.655
Q8BWP8,"Beta-1,4-glucuronyltransferase 1",B4gat1,Enzyme,,Yes,,,,
Q8BWQ6,VPS35 endosomal protein sorting factor-like,Vps35l,,,Yes,,,,
Q8BWR2,PITH domain-containing protein 1,Pithd1,,Nucleus,Yes,Yes,Yes,0.203,0.089
Q8BWT1,"3-ketoacyl-CoA thiolase, mitochondrial",Acaa2,Enzyme,Mitochondria,Yes,Yes,Yes,6.122,-2.624
Q8BWU5,Probable tRNA N6-adenosine threonylcarbamoyltransferase,Osgep,Peptidase,Nucleus,Yes,,,,
Q8BWW4,La-related protein 4,Larp4,,,Yes,,,,
Q8BWW9,Serine/threonine-protein kinase N2,Pkn2,Kinase,Nucleus,Yes,,,,
Q8BWY3,Eukaryotic peptide chain release factor subunit 1,Etf1,Translation regulator,,Yes,Yes,Yes,3.156,-1.435
Q8BWZ3,"N-alpha-acetyltransferase 25, NatB auxiliary subunit",Naa25,,,Yes,Yes,Yes,0.742,-0.703
Q8BX02,KN motif and ankyrin repeat domain-containing protein 2,Kank2,Transcription regulator,,Yes,,,,
Q8BX05,Putative glycerol kinase 5 ,Gk5,,,,,,,
Q8BX09,Retinoblastoma-binding protein 5,Rbbp5,Transcription regulator,Nucleus,Yes,,,,
Q8BX10,"Serine/threonine-protein phosphatase PGAM5, mitochondrial",Pgam5,Enzyme,Mitochondria,Yes,Yes,Yes,1.056,0.596
Q8BX10-2,"Isoform 2 of Serine/threonine-protein phosphatase PGAM5, mitochondrial",Pgam5,Enzyme,Mitochondria,Yes,Yes,Yes,2.01,0.128
Q8BX17,Gem-associated protein 5,Gemin5,,Nucleus,Yes,,,,
Q8BX57,PX domain-containing protein kinase-like protein,Pxk,Kinase,Nucleus,Yes,,,,
Q8BX70,Vacuolar protein sorting-associated protein 13C,Vps13c,,Mitochondria,Yes,,,,
Q8BX90,Fibronectin type-III domain-containing protein 3A,Fndc3a,,,Yes,,,,
Q8BX94,Oxysterol-binding protein-related protein 2,Osbpl2,Transporter,,Yes,,,,
Q8BXA1,Golgi integral membrane protein 4,Golim4,,,Yes,,,,
Q8BXA5,Cleft lip and palate transmembrane protein 1-like protein,Clptm1l,,,Yes,Yes,Yes,3.757,-1.037
Q8BXC6,COMM domain-containing protein 2,Commd2,,,Yes,,,,
Q8BXF8,Actin-related protein T3,Actrt3,,Nucleus,Yes,Yes,Yes,2.555,0.429
Q8BXG3,Intraflagellar transport protein 57 homolog,Ift57,,Axoneme,Yes,,,,
Q8BXJ9,Transmembrane protein 62,Tmem62,Enzyme,,Yes,,,,
Q8BXK8,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1",Agap1,Enzyme,Nucleus,Yes,,,,
Q8BXL7,ADP-ribosylation factor-related protein 1,Arfrp1,Enzyme,,Yes,,,,
Q8BXN7,"Protein phosphatase 1K, mitochondrial",Ppm1k,Phosphatase,Mitochondria,Yes,,,,
Q8BXN9,Transmembrane protein 87A,Tmem87a,,,Yes,,,,
Q8BXQ2,GPI transamidase component PIG-T,Pigt,Enzyme,,Yes,Yes,Yes,3.447,-1.214
Q8BXV2,BRI3-binding protein,Bri3bp,,Mitochondria,Yes,Yes,Yes,2.561,-0.761
Q8BXZ1,Protein disulfide-isomerase TMX3,Tmx3,Enzyme,,Yes,Yes,Yes,3.617,-1.317
Q8BY02,NF-kappa-B-repressing factor,Nkrf,Transcription regulator,Nucleus,Yes,,,,
Q8BY46,Zinc finger protein 574,Znf574,,Nucleus,Yes,,,,
Q8BY71,Histone acetyltransferase type B catalytic subunit,Hat1,Enzyme,Nucleus,Yes,,,,
Q8BY87,Ubiquitin carboxyl-terminal hydrolase 47,Usp47,Peptidase,Nucleus,Yes,,,,
Q8BY89,Choline transporter-like protein 2,Slc44a2,Transporter,,Yes,Yes,Yes,0.005,0.001
Q8BYA0,Tubulin-specific chaperone D,Tbcd,,,Yes,Yes,Yes,1.927,-0.864
Q8BYB9,Protein O-glucosyltransferase 1,Poglut1,Enzyme,,Yes,,,,
Q8BYH7,TBC1 domain family member 17,Tbc1d17,,,Yes,,,,
Q8BYH8,Chromodomain-helicase-DNA-binding protein 9,Chd9,,Nucleus,Yes,,,,
Q8BYI6,Lysophosphatidylcholine acyltransferase 2,Lpcat2,Enzyme,,Yes,,,,
Q8BYJ6,TBC1 domain family member 4,Tbc1d4,,,Yes,,,,
Q8BYK4,Retinol dehydrogenase 12,Rdh12,Enzyme,,Yes,Yes,Yes,3.197,-1.325
Q8BYK6,YTH domain-containing family protein 3,Ythdf3,,,Yes,,,,
Q8BYL4,"Tyrosine--tRNA ligase, mitochondrial",Yars2,Enzyme,Mitochondria,Yes,Yes,Yes,2.233,-0.638
Q8BYM7,Radial spoke head protein 4 homolog A,Rsph4a,,Axoneme,Yes,,,,
Q8BYM8,"Probable cysteine--tRNA ligase, mitochondrial",Cars2,Enzyme,Mitochondria,Yes,Yes,Yes,0.898,-0.25
Q8BYN3,Inositol-tetrakisphosphate 1-kinase,Itpk1,Kinase,,Yes,,,,
Q8BYN5,FSD1-like protein,Fsd1l,,,Yes,Yes,Yes,1.97,0.383
Q8BYU6,Torsin-1A-interacting protein 2,Tor1aip2,,Nucleus,Yes,Yes,Yes,2.199,-1.064
Q8BYW9,EGF domain-specific O-linked N-acetylglucosamine transferase,Eogt,Enzyme,,Yes,,,,
Q8BYZ7,Engulfment and cell motility protein 3,Elmo3,,,Yes,,,,
Q8BZ03,Serine/threonine-protein kinase D2,Prkd2,Kinase,Nucleus,Yes,,,,
Q8BZ09,Mitochondrial 2-oxodicarboxylate carrier,Slc25a21,Transporter,Mitochondria,Yes,Yes,Yes,1.475,-0.219
Q8BZ21,Histone acetyltransferase KAT6A,Kat6a,Enzyme,Nucleus,Yes,,,,
Q8BZ36,RAD50-interacting protein 1,Rint1,,,Yes,,,,
Q8BZ98,Dynamin-3,Dnm3,Enzyme,Mitochondria,Yes,,,,
Q8BZH4,Pogo transposable element with ZNF domain,Pogz,Enzyme,Nucleus,Yes,,,,
Q8BZM1,Glomulin,Glmn,,,Yes,Yes,Yes,5.064,0.986
Q8BZQ7,Anaphase-promoting complex subunit 2,Anapc2,,Nucleus,Yes,,,,
Q8BZS9,Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX32,Dhx32,Enzyme,Nucleus,Yes,,,,
Q8BZW8,NHL repeat-containing protein 2,Nhlrc2,Enzyme,,Yes,,,,
Q8BZX4-2,Isoform 2 of Splicing regulatory glutamine/lysine-rich protein 1,Srek1,,Nucleus,Yes,,,,
Q8C006,Tripartite motif-containing protein 35,Trim35,,Nucleus,Yes,,,,
Q8C042,Enolase 4,Eno4,Enzyme,,Yes,Yes,Yes,2.395,0.859
Q8C050,Ribosomal protein S6 kinase alpha-5,Rps6ka5,Kinase,Nucleus,Yes,,,,
Q8C052,Microtubule-associated protein 1S,Map1s,Enzyme,Nucleus; Mitochondria,Yes,,,,
Q8C079,Striatin-interacting protein 1,Strip1,,Nucleus,Yes,,,,
Q8C092,Transcription initiation factor TFIID subunit 5,Taf5,Transcription regulator,Nucleus,Yes,,,,
Q8C0C0,Zinc fingers and homeoboxes protein 2,Zhx2,Transcription regulator,Nucleus,Yes,,,,
Q8C0C7,Phenylalanine--tRNA ligase alpha subunit,Farsa,Enzyme,,Yes,Yes,Yes,3.022,-0.789
Q8C0D5,Elongation factor-like GTPase 1,Efl1,Translation regulator,,Yes,,,,
Q8C0D7,Inhibitor of growth protein 4,Ing4,Transcription regulator,Nucleus,Yes,,,,
Q8C0E2,Vacuolar protein sorting-associated protein 26B,Vps26b,Transporter,,Yes,,,,
Q8C0I1,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",Agps,Enzyme,,Yes,,,,
Q8C0I4,Enhancer of polycomb homolog 2,Epc2,,Nucleus,Yes,,,,
Q8C0J2,Autophagy-related protein 16-1,Atg16l1,Enzyme,Axoneme,Yes,,,,
Q8C0J6,Ankyrin repeat domain-containing protein SOWAHC,Sowahc,Transcription regulator,,Yes,,,,
Q8C0K5,Graves disease carrier protein homolog,Slc25a16,Transporter,Mitochondria,Yes,,,,
Q8C0L0,Thioredoxin-related transmembrane protein 4,Tmx4,Enzyme,Nucleus,Yes,Yes,Yes,3.177,-0.978
Q8C0L6,Peroxisomal N(1)-acetyl-spermine/spermidine oxidase,Paox,Enzyme,,Yes,,,,
Q8C0L8,Conserved oligomeric Golgi complex subunit 5,Cog5,Transporter,,Yes,,,,
Q8C0L9,Glycerophosphocholine phosphodiesterase GPCPD1,Gpcpd1,Enzyme,,,Yes,,,
Q8C0M8,"Dynein intermediate chain 1, axonemal",Dnai1,,Axoneme,Yes,Yes,Yes,1.805,0.284
Q8C0M9,Isoaspartyl peptidase/L-asparaginase,Asrgl1,Enzyme,,Yes,Yes,Yes,2.476,0.465
Q8C0N0,Sperm motility kinase Z,Gm4922,,Nucleus,,Yes,,,
Q8C0P5,Coronin-2A,Coro2a,,,Yes,Yes,Yes,1.688,-1.517
Q8C0Q2,Zinc fingers and homeoboxes protein 3,Zhx3,Transcription regulator,Nucleus,Yes,,,,
Q8C0R9,Leucine-rich repeat and death domain-containing protein 1,Lrrd1,,,Yes,Yes,Yes,3.225,1.029
Q8C0S4,Tetratricopeptide repeat protein 21A,Ttc21a,,,Yes,Yes,Yes,1.067,0.471
Q8C0T5,Signal-induced proliferation-associated 1-like protein 1,Sipa1l1,,,Yes,,,,
Q8C0T9,Adenylate cyclase type 10,Adcy10,Enzyme,Nucleus,,Yes,,,
Q8C0W1,Ankyrin repeat and MYND domain-containing protein 1,Ankmy1,,,Yes,Yes,Yes,3.36,1.238
Q8C0X2,Sodium/hydrogen exchanger 9B1,Slc9b1,Transporter,Flagellum,Yes,Yes,Yes,2.616,0.478
Q8C0Z1,Protein FAM234A,Fam234a,,,Yes,,,,
Q8C115,Pleckstrin homology domain-containing family H member 2,Plekhh2,,,Yes,Yes,Yes,2.533,0.438
Q8C129,Leucyl-cystinyl aminopeptidase,Lnpep,Peptidase,,Yes,,,,
Q8C147,Dedicator of cytokinesis protein 8,Dock8,,,Yes,,,,
Q8C163,"Nuclease EXOG, mitochondrial",Exog,Enzyme,Nucleus; Mitochondria,Yes,Yes,Yes,3.269,-0.693
Q8C165,N-fatty-acyl-amino acid synthase/hydrolase PM20D1,Pm20d1,Peptidase,,Yes,,,,
Q8C166,Copine-1,Cpne1,Transporter,Nucleus,Yes,,,,
Q8C172,Ceramide synthase 6,Cers6,Transcription regulator,,Yes,,,,
Q8C176,Transcription initiation factor TFIID subunit 2,Taf2,Transcription regulator,Nucleus,Yes,,,,
Q8C181,Muscleblind-like protein 2,Mbnl2,,Nucleus,Yes,,,,
Q8C1A5,Thimet oligopeptidase,Thop1,Peptidase,Mitochondria,Yes,Yes,Yes,0.421,0.07
Q8C1B7,Septin-11,Septin11,,,Yes,,,,
Q8C1D8,Protein IWS1 homolog,Iws1,Enzyme,Nucleus,Yes,,,,
Q8C1E7,Ion channel TACAN,Tmem120a,,Nucleus,Yes,,,,
Q8C1F5,Tetratricopeptide repeat protein 16,Ttc16,,,Yes,Yes,Yes,3.164,1.803
Q8C1S0,Mediator of RNA polymerase II transcription subunit 19,Med19,,Nucleus,Yes,,,,
Q8C1Y8,Vacuolar fusion protein CCZ1 homolog,Ccz1,,,Yes,,,,
Q8C262,Interferon-inducible GTPase 5,Irgc,,,Yes,Yes,Yes,4.274,0.409
Q8C2E7,WASH complex subunit 5,Washc5,,,Yes,,,,
Q8C2L6,Transmembrane protein 161B,Tmem161b,,,Yes,,,,
Q8C2Q3,RNA-binding protein 14,Rbm14,Transcription regulator,Nucleus,Yes,Yes,Yes,6.568,-1.684
Q8C341,SUN domain-containing ossification factor,Suco,,,Yes,,,,
Q8C3B8,Protein RFT1 homolog,Rft1,,,Yes,,,,
Q8C3F2,Constitutive coactivator of PPAR-gamma-like protein 2,Fam120c,,Nucleus,Yes,,,,
Q8C3I8,Protein HGH1 homolog,Hgh1,,,,Yes,,,
Q8C3J5,Dedicator of cytokinesis protein 2,Dock2,,,Yes,,,,
Q8C3P7,N6-adenosine-methyltransferase subunit METTL3,Mettl3,Enzyme,Nucleus,Yes,,,,
Q8C3X2,"Coiled-coil domain-containing protein 90B, mitochondrial",Ccdc90b,,Mitochondria,Yes,Yes,Yes,2.456,-1.876
Q8C3X4,"Translation factor Guf1, mitochondrial",Guf1,,Mitochondria,Yes,,,,
Q8C3X8,Lipase maturation factor 2,Lmf2,,,Yes,,,,
Q8C407,Protein YIPF4,Yipf4,,,Yes,,,,
Q8C428,Transmembrane channel-like protein 7 ,Tmc7,,,,,,,
Q8C460,ERI1 exoribonuclease 3,Eri3,,,Yes,Yes,Yes,3.873,-0.941
Q8C4B4,Protein unc-119 homolog B,Unc119b,,,Yes,,,,
Q8C4J0,Coiled-coil domain-containing protein 60,Ccdc60,,,Yes,Yes,Yes,2.524,0.612
Q8C4J7,Transducin beta-like protein 3,Tbl3,Peptidase,Nucleus,Yes,,,,
Q8C4U3,Secreted frizzled-related protein 1,Sfrp1,Transmembrane receptor,,Yes,,,,
Q8C4X2,Casein kinase I isoform gamma-3 ,Csnk1g3,,Nucleus,,,,,
Q8C4Y3,Negative elongation factor B,Nelfb,,Nucleus; Mitochondria,Yes,,,,
Q8C522,Endonuclease domain-containing 1 protein,Endod1,Enzyme,,Yes,Yes,Yes,3.5,-1.467
Q8C547,HEAT repeat-containing protein 5B,Heatr5b,,,Yes,,,,
Q8C552,Protein FAM78A,Fam78a,,,Yes,Yes,Yes,1.554,0.29
Q8C561,G-protein coupled receptor-associated protein LMBRD2,Lmbrd2,,,Yes,,,,
Q8C569,Protein FAM118B,Fam118b,,Nucleus,,Yes,,,
Q8C570,mRNA export factor,Rae1,,Nucleus,Yes,Yes,Yes,3.297,-1.133
Q8C5H8,"NAD kinase 2, mitochondrial ",Nadk2,,,,,,,
Q8C5H8-3,"Isoform 3 of NAD kinase 2, mitochondrial",Nadk2,,,Yes,Yes,Yes,2.678,-0.608
Q8C5L3,CCR4-NOT transcription complex subunit 2,Cnot2,Transcription regulator,Nucleus,Yes,,,,
Q8C5L6,Inositol polyphosphate 5-phosphatase K,Inpp5k,Phosphatase,Nucleus,Yes,,,,
Q8C5L7,RNA-binding protein 34,Rbm34,,Nucleus,Yes,,,,
Q8C5N3,Pre-mRNA-splicing factor CWC22 homolog,Cwc22,,Nucleus,Yes,,,,
Q8C5P7,Testis development-related protein,Tdrp,,Nucleus; Flagellum,Yes,,,,
Q8C5Q4,G-rich sequence factor 1,Grsf1,,Mitochondria,Yes,,,,
Q8C5S3,Uncharacterized protein C3orf22 homolog,,,,,,,,
Q8C5T4,MORN repeat-containing protein 3,Morn3,,,Yes,Yes,Yes,3.796,0.696
Q8C5T8,Coiled-coil domain-containing protein 113,Ccdc113,,Axoneme,Yes,Yes,Yes,0.019,0.013
Q8C5U4,Uncharacterized protein SPEM2,Spem2,,,Yes,Yes,Yes,3.875,1.086
Q8C5U9,Ubiquilin-3,Ubqln3,,,,Yes,,,
Q8C5V0,Spermatogenesis-associated protein 32,Spata32,,,Yes,Yes,Yes,2.082,0.429
Q8C5W0,Calmin,Clmn,,,Yes,Yes,Yes,3.455,0.555
Q8C5W3,Tubulin-specific chaperone cofactor E-like protein,Tbcel,,,Yes,Yes,Yes,1.341,0.424
Q8C624,Spermatogenesis-associated protein 33,Spata33,,Nucleus,Yes,Yes,Yes,2.112,0.534
Q8C627,Protein FAM221B,Fam221b,,,Yes,Yes,Yes,2.461,0.58
Q8C633,Calcium-binding and spermatid-specific protein 1,Cabs1,,Acrosome; Flagellum,Yes,Yes,Yes,0.077,0.024
Q8C650,Septin-10,Septin10,Transcription regulator,,Yes,Yes,Yes,1.8,0.286
Q8C6B9,Active regulator of SIRT1,Rps19bp1,,Nucleus,Yes,,,,
Q8C6E0,Cilia- and flagella-associated protein 36,Cfap36,,Nucleus; Axoneme; Flagellum,,Yes,,,
